api_number,longitude,latitude,well_name,oil_production,gas_production,well_status,well_type,closest_city
33-053-02102,-103.6024878,48.06879056,BASIC GAME AND FISH 34-3,,,Inactive,Oil & Gas,Williston
33-053-03944,-103.6022597,48.07918389,Magnum 2-36-25H,459,670,Active,Oil & Gas,Williston
33-053-06012,-103.6024881,48.06878722,CHALMERS WADE FEDERAL 5301 44-24 12TXR,366,382,Active,Oil & Gas,Williston
33-053-06025,-103.6025311,48.06878389,KLINE FEDERAL 5300 41-18 9T,436,2.7 k,Active,Oil & Gas,Williston
33-053-04071,-103.6022647,48.07919361,LARRY 5301 44-12B,529,2.7 k,Active,Oil & Gas,Williston
33-053-08946,-103.6027133,48.07918889,LEWIS FEDERAL 5300 11-31 4BR,1.8 k,2.4 k,Active,Oil & Gas,Williston
33-053-03609,-103.6022622,48.07918417,BRAY 5301 43-12H,493,2.3 k,Active,Oil & Gas,Williston
33-053-06029,-103.6033194,48.06894444,KLINE FEDERAL 5300 41-18 14BX,1.1 k,2.5 k,Active,Oil & Gas,Williston
33-053-04852,-103.6024883,48.07918222,COLUMBUS FEDERAL 1-16H,1.7 k,2 k,Active,Oil & Gas,Williston
33-053-03413,-103.6025278,48.06892022,WADE FEDERAL 5300 21-30H,,,Inactive,Oil & Gas,Williston
33-053-04854,-103.6024886,48.07917472,TALLAHASSEE 2-16H,944,1.5 k,Active,Oil & Gas,Williston
33-053-90244,-103.6033194,48.06876389,BUCK SHOT SWD 5300 31-31,,,Active,Salt Water Disposal,Williston
33-053-06026,-103.6024889,48.07917278,KLINE FEDERAL 5300 41-18 10B,118,436,Active,Oil & Gas,Williston
33-053-04855,-103.6026872,48.05735306,COLUMBUS FEDERAL 2-16H,906,1.6 k,Active,Oil & Gas,Williston
33-053-06027,-103.6024892,48.05735361,"	KLINE FEDERAL 5300 41-18 11T2",,,Plugged and Abandoned,Oil & Gas,Williston
33-053-03936,-103.6029417,48.07919167,JEFFERIES 5301 43-12B,755,820,Active,Oil & Gas,Williston
33-053-06028,-103.6024892,48.05765833,"	KLINE FEDERAL 5300 41-18 13T2X",,,Abandoned,Oil & Gas,Williston
33-053-03703,-103.6026611,48.06877056,DAHL FEDERAL 15-11H,3.1 k,2.2 k,Active,Oil & Gas,Williston
33-053-04981,-103.6024894,48.05735333,COLVILLE 5301 44-12T,505,1.6 k,Active,Oil & Gas,Williston
33-053-03608,-103.6027122,48.05765806,"	FOLEY FEDERAL 5301 43-12H",125,64,Active,Oil & Gas,Williston
33-053-04069,-103.6025828,48.06877389,MAGNUM 3-36-25H,,,Inactive,Oil & Gas,Williston
33-053-06010,-103.6024897,48.06897667,CHALMERS 5301 44-24 3BR,126,2 k,Active,Oil & Gas,Williston
33-053-03846,-103.602745,48.06877722,DAHL FEDERAL 2-15H,1.8 k,1.1 k,Active,Oil & Gas,Williston
33-053-04856,-103.6026089,48.06900889,COLUMBUS FEDERAL 3-16H,676,746,Active,Oil & Gas,Williston
33-053-05924,-103.602635,48.06878056,CHALMERS 5301 44-24 2TR,338,3.2 k,Active,Oil & Gas,Williston
33-053-06055,-103.6024817,48.06904111,KLINE FEDERAL 5300 31-18 8B,98,126,Active,Oil & Gas,Williston
33-053-06018,-103.6026139,48.05735278,CHALMERS 5300 21-19 5T,767,713,Active,Oil & Gas,Williston
33-053-03911,-103.6026467,48.05765861,YUKON 5301 41-12T,1.1 k,598,Active,Oil & Gas,Williston
33-053-02556,-103.6024722,48.05765778,LEWIS AND CLARK 2-4H,324,323,Active,Oil & Gas,Williston
33-053-05845,-103.6024972,48.068917,"	LEWIS FEDERAL 5300 21-31 6B",1.5 k,3.8 k,Active,Oil & Gas,Williston
33-053-04853,-103.6022572,48.05765889,TALLAHASSEE 3-16H,478,828,Active,Oil & Gas,Williston
33-053-06547,-103.6026794,48.06907333,LEWIS FEDERAL 5300 11-31 4B,,,Dry Hole,Oil & Gas,Williston
33-053-06129,-103.6024725,48.05765917,WADE FEDERAL 5300 21-30 12T,457,6.1 k,Active,Oil & Gas,Williston
33-053-05907,-103.6022522,48.06910556,WADE FEDERAL 5300 31-30 10T2,,,Plugged and Abandoned,Oil & Gas,Williston
33-053-06548,-103.6022547,48.05735417,LEWIS FEDERAL 5300 11-31 3B,1.9 k,5.7 k,Active,Oil & Gas,Williston
33-053-06019,-103.6024603,48.06913778,"	CHALMERS 5300 21-19 6B",275,2.7 k,Active,Oil & Gas,Williston
33-053-05846,-103.6022672,48.05735389,LEWIS FEDERAL 5300 31-31 7T2,,,Permit Now Cancelled,Oil & Gas,Williston
